640,631,640,5.81825,1
640,631,320,4.86655,2
640,631,213,4.10465,3
640,631,160,4.37834,4
640,631,128,4.12336,5
640,631,106,3.70295,6
640,631,91,4.26707,7
640,631,80,3.90671,8
1023,1015,1023,26.5324,1
1023,1015,511,20.7214,2
1023,1015,341,19.0626,3
1023,1015,255,20.8985,4
1023,1015,204,14.7815,5
1023,1015,170,14.9655,6
1023,1015,146,13.5678,7
1023,1015,127,13.9557,8
1136,970,1136,31.3806,1
1136,970,568,27.4831,2
1136,970,378,25.9599,3
1136,970,284,21.0053,4
1136,970,227,17.3743,5
1136,970,189,16.0682,6
1136,970,162,14.8796,7
1136,970,142,14.1542,8
4087,4024,4087,1470.85,1
4087,4024,2043,1509.09,2
4087,4024,1362,1297.67,3
4087,4024,1021,1100.21,4
4087,4024,817,1005.97,5
4087,4024,681,851.82,6
4087,4024,583,751.369,7
4087,4024,510,708.941,8
87,76,87,0.0235602,1
87,76,43,0.0370266,2
87,76,29,0.0870794,3
87,76,21,0.0646132,4
87,76,17,0.211075,5
87,76,14,0.0898735,6
87,76,12,0.121602,7
87,76,10,0.146263,8
3,4,4,9.3704e-05,1
3,4,2,0.000638809,2
3,4,1,0.00824558,3
3,4,1,0.00149689,4
3,4,0,0.00684236,5
3,4,0,0.00285422,6
3,4,0,0.00399772,7
3,4,0,0.0023598,8
